poolAddress,fee,protocol,price,pair
0x313cED5dA609d678D945C19091BAaf3A022537A1,0,HyperSwapV2,43.743648,WHYPE/USD₮0
0x7f63aC9b82905d870071024FA310cF0Ab8A74ad1,100,HyperSwapV3,32.353164,WHYPE/USD₮0
0x337b56d87A6185cD46AF3Ac2cDF03CBC37070C30,500,HyperSwapV3,44.275702,WHYPE/USD₮0
0x56aBfaf40F5B7464e9cC8cFF1af13863D6914508,3000,HyperSwapV3,44.146627,WHYPE/USD₮0
0xf40D57783c3359f160D006b9Bc7A2e4311FE6a86,10000,HyperSwapV3,43.737613,WHYPE/USD₮0
0xFc94f5AaA72CBb2D5D807AdC7Fe94F18c2676fb8,500,LaminarV3,43.974497,WHYPE/USD₮0
0x2990057D4afC1E84b89DEe01Aa18C225c5f9A75e,3000,LaminarV3,30.4046,WHYPE/USD₮0
0xEC31710146EE79Faf276a7076B67a9b2ecAbEaE3,200,KittenSwapV3,44.166175,WHYPE/USD₮0
0xbAD46FA62C805A6A0F760b4C811e97C7b03D13AE,0,HybraFinanceV2,43.632996,WHYPE/USD₮0
0x0b54002a385E1c86e01ae681ffaE9B6B67040dC9,100,HybraFinanceV3,41.074323,WHYPE/USD₮0
0x3514cC7C954522Cc521235a321154605989CD2AD,500,HybraFinanceV3,44.253771,WHYPE/USD₮0
0x3603ffEbB994CC110b4186040CaC3005B2cf4465,2500,HybraFinanceV3,44.17164,WHYPE/USD₮0
0xD391259888fe4599E8011eeA5e27B93A9Dc74920,0,Gliquid,44.234962,WHYPE/USD₮0
0x5B8AFa572f6827B93a02e851c4e30D98C76d4c91,100,RamsesV3,44.222143,WHYPE/USD₮0
0xAf40975FEfD9818431d4b8629d303026869837D1,0,HyperCat,44.199012,WHYPE/USD₮0
0xBd19E19E4b70eB7F248695a42208bc1EdBBFb57D,500,ProjectX,44.271256,WHYPE/USD₮0
0x161fB7d6c764f81DAE581E8a4981772750416727,3000,ProjectX,44.146924,WHYPE/USD₮0
0x23F766258103a85e239037Aa047aF7fb72B17E9C,10,HyperBrick,44.257119,WHYPE/USD₮0
0x40f778df08c5cad9d920445b43C2808179A479cA,20,HyperBrick,44.205594,WHYPE/USD₮0
0x6dE8ac86f19BdFD1559b354d8682192BB83f262e,25,HyperBrick,44.071308,WHYPE/USD₮0
0x3e909C28046457997E72A810f8cDAFf28BD2275d,100,HyperBrick,41.450923,WHYPE/USD₮0
0x3c1403335d0ca7d0A73c9E775B25514537C2b809,0,KittenSwapV4,44.213022,WHYPE/USD₮0
0xE9f6862A346F4DbA5e001A372366A2aE360360d1,0,HXFinance,44.104733,WHYPE/USD₮0
